Experiment,ZnNTf,CuBF4,Tris,Tren,Di,Ald1,Ket,Ald2,Volume Prog1,Prog2 ZnNTf,Prog2 CuBF4,Prog2 Tris,Prog2 Tren,Prog2 Di,Prog2 Ald1,Prog2 Ket,Prog2 Ald2,Volume Prog2,Volume Prog3,Program,ReplicationBinary,RxnDilution,LCMS,LCMSDilution,NMR
1,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,4.0,1.5,0,1.5,0,0.0,1.5,0,0,0,0.0,2.0,1,3,0.1,1.9,0.7
2,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,17.43,1.5,0,0.0,0,1.5,1.5,0,0,0,0.0,,1,,,,
3,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,4.76,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,0,,,,
4,1.5,0.0,0.0,1.5,0.0,1.5,0.0,0.0,13.19,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,,,
5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,12.77,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,,,
6,1.5,0.0,0.0,1.5,0.0,0.0,0.0,1.5,18.9,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,,,
7,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,16.05,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,,,
8,1.5,0.0,0.0,0.0,1.5,0.0,1.5,0.0,18.69,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,,,
9,1.5,0.0,0.0,0.0,1.5,0.0,0.0,1.5,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
10,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
11,0.0,1.5,1.5,0.0,0.0,0.0,1.5,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
12,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
13,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
14,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
15,0.0,1.5,0.0,1.5,0.0,0.0,0.0,1.5,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
16,0.0,1.5,0.0,0.0,1.5,1.5,0.0,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
17,0.0,1.5,0.0,0.0,1.5,0.0,1.5,0.0,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
18,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.5,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,
